
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 108.0, 264.0, 54.0, 48.0, 0, 3.0, 21.0, 27.0, 12.0, 3.0, 132.0, 36.0, 9.0, 0, 0, 717.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 18.0, 3.0, 0, 0, 0, 12.0, 0, 0, 0, 0, 0, 0, 0, 0, 33.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 60.0, 45.0, 0, 3.0, 0, 3.0, 0, 0, 18.0, 159.0, 36.0, 3.0, 0, 0, 0, 327.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 168.0, 327.0, 57.0, 51.0, 0, 6.0, 33.0, 27.0, 30.0, 162.0, 168.0, 39.0, 9.0, 0, 0, 1077.0, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 102.0, 216.0, 18.0, 96.0, 0, 27.0, 30.0, 18.0, 6.0, 15.0, 108.0, 36.0, 0, 0, 0, 672.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 6.0, 0, 0, 0, 0, 0, 0, 0, 6.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 3.0, 15.0, 0, 75.0, 0, 0, 0, 0, 0, 0, 90.0, 0, 9.0, 0, 0, 192.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 105.0, 231.0, 18.0, 171.0, 0, 27.0, 30.0, 24.0, 6.0, 15.0, 198.0, 36.0, 9.0, 0, 0, 870.0, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0, 
Arts, 15.0, 120.0, 51.0, 3.0, 0, 9.0, 12.0, 15.0, 3.0, 0, 15.0, 51.0, 6.0, 0, 0, 300.0, 
Education, 0, 0, 15.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.0, 
~Engineering, 0, 0, 0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 6.0, 39.0, 24.0, 3.0, 0, 3.0, 0, 0, 18.0, 3.0, 3.0, 9.0, 0, 0, 0, 108.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 57.0, 78.0, 69.0, 39.0, 0, 3.0, 6.0, 0, 9.0, 12.0, 36.0, 0, 3.0, 0, 0, 312.0, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 81.0, 237.0, 159.0, 48.0, 0, 15.0, 18.0, 15.0, 30.0, 15.0, 54.0, 60.0, 9.0, 0, 0, 741.0, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 2061.0, 252.0, 12.0, 432.0, 0, 111.0, 15.0, 654.0, 15.0, 0, 90.0, 0, 27.0, 0, 0, 3669.0, 
Arts, 684.0, 1368.0, 147.0, 372.0, 0, 60.0, 30.0, 427.0, 78.0, 36.0, 336.0, 90.0, 30.0, 0, 0, 3658.0, 
Education, 0, 0, 261.0, 0, 0, 192.0, 6.0, 744.0, 12.0, 0, 0, 9.0, 0, 0, 0, 1224.0, 
