
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 51, 366, 66, 30, 0, 3, 30, 21, 15, 27, 87, 18, 6, 0, 0, 720, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 12, 0, 0, 0, 0, 18, 0, 0, 0, 3, 0, 0, 0, 0, 33, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 99, 51, 0, 0, 0, 3, 0, 0, 42, 117, 27, 0, 0, 0, 0, 339, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 150, 429, 66, 30, 0, 6, 48, 21, 57, 144, 117, 18, 6, 0, 0, 1092, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 135, 279, 39, 81, 0, 9, 15, 31, 12, 18, 105, 30, 12, 0, 0, 766, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 6, 3, 0, 0, 0, 39, 0, 0, 0, 0, 3, 0, 0, 0, 51, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 135, 285, 42, 81, 0, 9, 54, 36, 12, 18, 105, 33, 12, 0, 0, 822, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Arts, 12, 150, 42, 6, 0, 3, 12, 0, 21, 6, 6, 51, 0, 0, 0, 309, 
Education, 0, 3, 36, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 75, 
~Engineering, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 24, 72, 54, 3, 0, 3, 3, 0, 24, 39, 15, 9, 0, 0, 0, 246, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 36, 228, 132, 12, 0, 6, 15, 36, 45, 45, 21, 60, 0, 0, 0, 636, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 2718, 210, 21, 288, 0, 84, 3, 615, 57, 0, 48, 3, 3, 0, 0, 4050, 
Arts, 786, 2004, 195, 291, 0, 69, 84, 421, 66, 78, 366, 204, 21, 0, 3, 4588, 
Education, 3, 27, 580.5, 0, 0, 153, 18, 792, 6, 0, 3, 3, 3, 0, 0, 1588.5, 
~Engineering, 0, 12, 0, 2058, 0, 0, 0, 786, 0, 0, 3, 0, 0, 0, 0, 2859, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 33, 75, 0, 0, 0, 141, 6, 0, 0, 0, 0, 9, 0, 0, 0, 264, 
Fine Arts, 0, 33, 66, 0, 0, 0, 152, 87, 0, 0, 6, 0, 0, 0, 0, 344, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 
Kinesiology & Health Studies, 102, 45, 39, 6, 0, 3, 9, 99, 174, 24, 57, 15, 0, 0, 0, 573, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 159, 345, 42, 885, 0, 18, 30, 553, 21, 0, 846, 0, 33, 0, 3, 2935, 
Social Work, 0, 24, 0, 0, 0, 0, 0, 57, 0, 0, 0, 660, 0, 0, 0, 741, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 3801, 2775, 943.5, 3528, 0, 468, 302, 3416, 324, 102, 1329, 894, 60, 0, 6, 17948.5, 
