
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 129, 348, 60, 15, 0, 6, 27, 6, 12, 6, 114, 18, 6, 0, 0, 747, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 63, 30, 0, 3, 0, 0, 0, 0, 39, 135, 33, 0, 0, 0, 0, 303, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 192, 378, 60, 18, 0, 6, 27, 6, 51, 141, 147, 18, 6, 0, 0, 1050, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 93, 255, 33, 69, 0, 3, 33, 21, 21, 21, 114, 69, 6, 0, 0, 738, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 9, 30, 6, 27, 0, 3, 0, 3, 0, 3, 81, 0, 3, 0, 0, 165, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 102, 285, 39, 96, 0, 6, 36, 24, 21, 24, 195, 69, 9, 0, 0, 906, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Arts, 27, 321, 72, 0, 0, 6, 12, 33, 9, 9, 18, 63, 3, 0, 0, 573, 
Education, 0, 0, 12, 0, 0, 6, 0, 21, 0, 0, 0, 0, 0, 0, 0, 39, 
~Engineering, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 54, 60, 54, 6, 0, 3, 3, 0, 9, 9, 36, 0, 0, 0, 0, 234, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 81, 381, 138, 6, 0, 15, 15, 54, 18, 18, 54, 63, 3, 0, 0, 846, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 2637, 162, 12, 498, 0, 111, 12, 609, 15, 0, 66, 3, 15, 0, 0, 4140, 
Arts, 699, 1686, 165, 372, 0, 45, 72, 399, 72, 60, 378, 132, 21, 0, 6, 4107, 
Education, 6, 48, 633, 0, 0, 201, 12, 735, 3, 3, 3, 3, 0, 0, 0, 1647, 
~Engineering, 3, 3, 0, 2562, 0, 3, 0, 903, 0, 0, 42, 0, 0, 0, 0, 3516, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 15, 36, 0, 0, 0, 132, 0, 0, 0, 0, 6, 9, 0, 0, 0, 198, 
Fine Arts, 21, 102, 42, 15, 0, 6, 222, 99, 3, 6, 12, 3, 9, 0, 0, 540, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21, 
Kinesiology & Health Studies, 72, 42, 12, 0, 0, 0, 15, 69, 72, 12, 18, 6, 0, 0, 0, 318, 
Nursing, 3, 0, 0, 0, 0, 3, 0, 0, 0, 951, 3, 0, 6, 0, 0, 966, 
Science, 195, 312, 51, 1080, 0, 24, 6, 505, 45, 105, 999, 3, 24, 0, 0, 3349, 
Social Work, 0, 3, 0, 0, 0, 0, 0, 60, 0, 0, 0, 339, 0, 0, 0, 402, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
