
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 402, 2250, 360, 114, 0, 27, 150, 25, 135, 6, 669, 231, 15, 0, 0, 4384, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 3, 33, 21, 0, 0, 0, 225, 9, 0, 0, 3, 3, 0, 0, 0, 297, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 24, 171, 99, 189, 0, 3, 6, 0, 0, 3, 315, 3, 0, 0, 0, 813, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 429, 2454, 480, 303, 0, 30, 381, 34, 135, 9, 987, 237, 15, 0, 0, 5494, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 402, 1650, 417, 135, 0, 21, 102, 8, 165, 12, 681, 264, 0, 0, 0, 3857, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 21, 9, 0, 0, 0, 117, 3, 0, 0, 6, 0, 0, 0, 0, 156, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 63, 186, 99, 96, 0, 0, 6, 12, 45, 0, 342, 6, 0, 0, 0, 855, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 465, 1857, 525, 231, 0, 21, 225, 23, 210, 12, 1029, 270, 0, 0, 0, 4868, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 258, 108, 0, 3, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381, 
Arts, 138, 1074, 306, 39, 0, 18, 54, 36, 39, 0, 150, 282, 0, 0, 0, 2136, 
Education, 0, 3, 204, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 228, 
~Engineering, 0, 15, 0, 36, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 57, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 9, 126, 21, 0, 0, 3, 75, 0, 0, 0, 3, 36, 0, 0, 0, 273, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 6, 84, 9, 6, 0, 3, 0, 0, 42, 0, 42, 6, 0, 0, 0, 198, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 252, 276, 57, 96, 0, 9, 12, 3, 33, 3, 174, 3, 0, 0, 0, 918, 
Social Work, 0, 30, 3, 0, 0, 3, 3, 0, 0, 0, 0, 141, 0, 0, 0, 180, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 663, 1716, 600, 180, 0, 48, 144, 60, 117, 3, 372, 468, 0, 0, 0, 4371, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 7620, 633, 30, 441, 0, 201, 33, 821, 81, 0, 192, 9, 9, 0, 0, 10070, 
Arts, 2862, 11031, 1344, 816, 0, 114, 408, 660, 573, 108, 2571, 1005, 30, 0, 0, 21522, 
Education, 0, 66, 8760, 0, 0, 132, 108, 765, 96, 0, 3, 0, 0, 0, 0, 9930, 
~Engineering, 0, 12, 0, 6558, 0, 6, 3, 1197, 0, 0, 42, 0, 0, 0, 3, 7821, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 6, 30, 0, 0, 0, 15, 12, 0, 0, 0, 6, 21, 0, 0, 0, 90, 
Fine Arts, 61, 617, 562, 6, 0, 12, 1982, 150, 13, 6, 188, 36, 12, 0, 0, 3645, 
