
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 456.0, 2145.0, 339.0, 144.0, 0, 21.0, 132.0, 27.0, 114.0, 0, 747.0, 180.0, 3.0, 0, 0, 4308.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 12.0, 132.0, 84.0, 0, 0, 6.0, 132.0, 0, 3.0, 0, 33.0, 9.0, 0, 0, 0, 411.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 24.0, 264.0, 60.0, 186.0, 0, 0, 15.0, 0, 3.0, 0, 306.0, 0, 0, 0, 0, 858.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 492.0, 2541.0, 483.0, 330.0, 0, 27.0, 279.0, 27.0, 120.0, 0, 1086.0, 189.0, 3.0, 0, 0, 5577.0, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 288.0, 1797.0, 300.0, 141.0, 0, 33.0, 126.0, 19.0, 90.0, 3.0, 714.0, 243.0, 6.0, 0, 0, 3760.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 3.0, 84.0, 30.0, 0, 0, 3.0, 111.0, 0, 6.0, 0, 9.0, 3.0, 0, 0, 0, 249.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 243.0, 294.0, 144.0, 516.0, 0, 9.0, 6.0, 1.0, 21.0, 3.0, 561.0, 6.0, 0, 0, 0, 1804.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 534.0, 2175.0, 474.0, 657.0, 0, 45.0, 243.0, 20.0, 117.0, 6.0, 1284.0, 252.0, 6.0, 0, 0, 5813.0, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 174.0, 78.0, 0, 0, 0, 9.0, 3.0, 0, 0, 0, 0, 0, 3.0, 0, 0, 267.0, 
Arts, 111.0, 1056.0, 321.0, 24.0, 0, 12.0, 51.0, 12.0, 30.0, 0, 177.0, 345.0, 9.0, 0, 0, 2148.0, 
Education, 0, 0, 270.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 270.0, 
~Engineering, 0, 24.0, 0, 81.0, 0, 0, 0, 0, 0, 0, 3.0, 0, 0, 0, 0, 108.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 18.0, 156.0, 60.0, 0, 0, 0, 78.0, 0, 0, 0, 0, 84.0, 0, 0, 0, 396.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 6.0, 75.0, 9.0, 3.0, 0, 0, 3.0, 0, 39.0, 0, 9.0, 6.0, 0, 0, 0, 150.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 255.0, 255.0, 78.0, 177.0, 0, 15.0, 6.0, 0, 30.0, 0, 216.0, 6.0, 3.0, 0, 0, 1041.0, 
Social Work, 0, 51.0, 0, 0, 0, 0, 3.0, 0, 0, 0, 0, 288.0, 0, 0, 0, 342.0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 564.0, 1695.0, 738.0, 285.0, 0, 36.0, 144.0, 12.0, 99.0, 0, 405.0, 729.0, 15.0, 0, 0, 4722.0, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 7299.0, 930.0, 15.0, 567.0, 0, 360.0, 12.0, 508.0, 87.0, 3.0, 201.0, 3.0, 24.0, 0, 0, 10009.0, 
Arts, 2862.0, 10995.0, 1335.0, 1092.0, 0, 228.0, 513.0, 670.0, 504.0, 66.0, 2736.0, 930.0, 24.0, 0, 0, 21955.0, 
Education, 6.0, 33.0, 8907.0, 0, 0, 93.0, 129.0, 819.0, 135.0, 0, 6.0, 12.0, 3.0, 0, 0, 10143.0, 
~Engineering, 6.0, 6.0, 0, 7242.0, 0, 6.0, 3.0, 1234.0, 0, 0, 27.0, 0, 3.0, 0, 0, 8527.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 75.0, 90.0, 0, 9.0, 0, 66.0, 33.0, 0, 6.0, 6.0, 27.0, 15.0, 0, 0, 0, 327.0, 
Fine Arts, 46.0, 495.0, 413.0, 18.0, 0, 27.0, 1850.0, 153.0, 30.0, 3.0, 146.5, 21.0, 3.0, 0, 0, 3205.5, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 9.0, 0, 0, 0, 0, 0, 0, 0, 9.0, 
Kinesiology & Health Studies, 207.0, 369.0, 594.0, 12.0, 0, 9.0, 9.0, 123.0, 4725.0, 51.0, 333.0, 33.0, 6.0, 0, 0, 6471.0, 
