
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 552, 2805, 378, 54, 0, 27, 135, 73, 171, 3, 936, 207, 9, 0, 0, 5350, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 6, 114, 51, 0, 0, 6, 81, 0, 0, 0, 21, 3, 0, 0, 0, 282, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 87, 237, 30, 57, 0, 0, 15, 0, 153, 0, 366, 0, 0, 0, 0, 945, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 645, 3156, 459, 111, 0, 33, 231, 73, 324, 3, 1323, 210, 9, 0, 0, 6577, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 591, 1971, 357, 57, 0, 21, 138, 24, 153, 6, 831, 396, 3, 0, 0, 4548, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 12, 306, 153, 0, 0, 3, 309, 0, 0, 0, 63, 3, 3, 0, 0, 852, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 240, 288, 147, 324, 0, 6, 9, 0, 93, 0, 279, 12, 3, 0, 0, 1401, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 843, 2565, 657, 381, 0, 30, 456, 24, 246, 6, 1173, 411, 9, 0, 0, 6801, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 294, 102, 6, 0, 0, 39, 3, 0, 3, 0, 3, 3, 0, 0, 0, 453, 
Arts, 150, 1230, 624, 6, 0, 15, 78, 30, 33, 3, 141, 456, 0, 0, 0, 2766, 
Education, 0, 3, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 
~Engineering, 0, 3, 0, 39, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 54, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 9, 168, 105, 0, 0, 0, 99, 0, 0, 0, 3, 18, 0, 0, 0, 402, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 3, 102, 24, 3, 0, 0, 0, 0, 105, 783, 42, 9, 3, 0, 0, 1074, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 249, 252, 69, 30, 0, 3, 12, 0, 42, 3, 201, 0, 0, 0, 0, 861, 
Social Work, 0, 93, 6, 0, 0, 3, 6, 0, 0, 0, 0, 99, 0, 0, 0, 207, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 705, 1953, 1068, 78, 0, 60, 198, 30, 195, 789, 390, 585, 3, 0, 0, 6054, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 8253, 474, 15, 279, 0, 216, 45, 950, 126, 0, 147, 0, 48, 0, 0, 10553, 
Arts, 2865, 11921, 1587, 315, 0, 144, 387, 722, 378, 675, 2691, 1209, 30, 0, 3, 22927, 
Education, 0, 30, 6441, 0, 0, 132, 84, 939, 153, 0, 0, 3, 0, 0, 0, 7782, 
~Engineering, 0, 9, 0, 7390, 0, 3, 0, 1101, 0, 0, 63, 0, 0, 9, 0, 8575, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
