
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 558, 3030, 300, 45, 0, 30, 222, 49, 99, 6, 867, 198, 18, 0, 0, 5422, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 12, 126, 66, 0, 0, 3, 216, 0, 6, 0, 39, 3, 0, 0, 0, 471, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 99, 366, 66, 15, 0, 9, 18, 0, 63, 3, 141, 3, 0, 0, 0, 783, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 669, 3522, 432, 60, 0, 42, 456, 49, 168, 9, 1047, 204, 18, 0, 0, 6676, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 393, 2076, 291, 36, 0, 24, 192, 24, 153, 3, 825, 327, 9, 0, 0, 4353, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 9, 192, 69, 0, 0, 0, 171, 0, 0, 0, 27, 0, 0, 0, 0, 468, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 126, 318, 135, 6, 0, 0, 30, 3, 255, 0, 372, 9, 0, 0, 0, 1254, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 528, 2586, 495, 42, 0, 24, 393, 27, 408, 3, 1224, 336, 9, 0, 0, 6075, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 450, 123, 0, 0, 0, 12, 6, 0, 3, 0, 0, 0, 0, 0, 0, 594, 
Arts, 156, 1323, 693, 9, 0, 9, 75, 12, 168, 891, 141, 459, 3, 0, 0, 3939, 
Education, 0, 0, 258, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 261, 
~Engineering, 0, 6, 0, 12, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 21, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
