
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 60, 186, 51, 9, 0, 0, 27, 27, 6, 9, 90, 18, 6, 0, 0, 489, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 75, 42, 0, 0, 0, 3, 0, 0, 27, 78, 51, 0, 3, 0, 0, 279, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 135, 228, 51, 9, 0, 3, 27, 30, 33, 87, 141, 18, 9, 0, 0, 771, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 78, 189, 39, 120, 0, 21, 27, 48, 18, 21, 141, 27, 0, 0, 0, 729, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 3, 33, 9, 114, 0, 0, 0, 6, 0, 0, 138, 0, 0, 0, 0, 303, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 81, 222, 48, 234, 0, 21, 27, 54, 18, 21, 279, 27, 0, 0, 0, 1032, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 
Arts, 15, 153, 60, 0, 0, 0, 21, 3, 12, 0, 15, 45, 0, 0, 0, 324, 
Education, 0, 0, 6, 0, 0, 12, 0, 15, 0, 0, 0, 0, 0, 0, 0, 33, 
~Engineering, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 0, 6, 9, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 27, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 81, 78, 39, 9, 0, 15, 12, 0, 12, 24, 42, 3, 3, 0, 0, 318, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 30, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 126, 237, 114, 15, 0, 27, 33, 18, 27, 27, 57, 81, 3, 0, 0, 765, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 2109, 243, 0, 315, 0, 231, 6, 468, 21, 3, 45, 3, 30, 0, 0, 3474, 
Arts, 639, 1207, 114, 300, 0, 78, 54, 306, 42, 39, 447, 69, 18, 0, 0, 3313, 
Education, 6, 6, 342, 0, 0, 213, 3, 990, 0, 0, 0, 6, 0, 0, 0, 1566, 
~Engineering, 0, 12, 0, 3333, 0, 9, 0, 840, 0, 0, 15, 0, 12, 0, 0, 4221, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 9, 15, 0, 3, 0, 135, 3, 0, 0, 0, 6, 3, 0, 0, 0, 174, 
Fine Arts, 21, 66, 48, 0, 0, 3, 123, 129, 3, 0, 9, 3, 0, 0, 0, 405, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 
Kinesiology & Health Studies, 96, 57, 12, 3, 0, 0, 9, 63, 96, 30, 48, 15, 3, 0, 0, 432, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1419, 0, 0, 0, 0, 0, 1422, 
Science, 144, 261, 36, 1533, 0, 12, 12, 601, 48, 3, 1077, 3, 33, 0, 0, 3763, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 447, 0, 0, 0, 540, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 18, 
totals:, 3024, 1867, 552, 5499, 0, 681, 210, 3496, 210, 1494, 1653, 549, 96, 0, 0, 19331, 
